# Conflict Data Audit Report
For each flight, all conflicts it is involved in are listed.
Columns: Source | Flight | Aircraft Type | Departure Time | Time (UTC) | Lat | Lon | Alt | Altitude Diff | Distance
Note: Departure Time column shows scheduled departure times to verify scheduling algorithm accuracy.

## Flight: FLT0001
### Conflict with FLT0018 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
| potential_conflict_data  | FLT0011      | B38M         | 1442           | 24           | -34.70958  | 149.66811  |   19481 |            519 | 2.61      |
| interpolated_points      | FLT0011      | B38M         | 1442           | 1522         | -34.70958  | 149.66811  |   19481 |              0 | N/A       |
| animation_data           | FLT0011      | B38M         | 1442           | 1522         | -34.70958  | 149.66811  |   19481 |              0 | N/A       |

## Flight: FLT0012
### Conflict with FLT0002 (Conflict 4)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0012      | F28          | 1438           | 25           | -36.16318  | 146.78797  |   19000 |              0 | 2.85      |
| interpolated_points      | FLT0012      | F28          | 1438           | 1503         | -36.16318  | 146.78797  |   19000 |              0 | N/A       |
| animation_data           | FLT0012      | F28          | 1438           | 1503         | -36.16318  | 146.78797  |   19000 |              0 | N/A       |

### Conflict with FLT0003 (Conflict 5)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0012      | F28          | 1438           | 12           | -37.28301  | 145.76142  |   19000 |              0 | 2.75      |
| interpolated_points      | FLT0012      | F28          | 1438           | 1449         | -37.28301  | 145.76142  |   19000 |              0 | N/A       |
| animation_data           | FLT0012      | F28          | 1438           | 1449         | -37.28301  | 145.76142  |   19000 |              0 | N/A       |

### Conflict with FLT0007 (Conflict 9)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0012      | F28          | 1438           | 19           | -36.62332  | 146.18381  |   19000 |              0 | 2.85      |
| interpolated_points      | FLT0012      | F28          | 1438           | 1456         | -36.62332  | 146.18381  |   19000 |              0 | N/A       |
| animation_data           | FLT0012      | F28          | 1438           | 1456         | -36.62332  | 146.18381  |   19000 |              0 | N/A       |

### Conflict with FLT0008 (Conflict 10)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0012      | F28          | 1438           | 11           | -37.34051  | 145.70619  |   19000 |            700 | 2.99      |
| interpolated_points      | FLT0012      | F28          | 1438           | 1448         | -37.34051  | 145.70619  |   19000 |              0 | N/A       |
| animation_data           | FLT0012      | F28          | 1438           | 1448         | -37.34051  | 145.70619  |   19000 |              0 | N/A       |

## Flight: FLT0014
### Conflict with FLT0015 (Conflict 18)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0014      | PC12         | 1409           | 4            | -34.48998  | 150.66790  |    7666 |            666 | 2.82      |
| interpolated_points      | FLT0014      | PC12         | 1409           | 1413         | -34.48998  | 150.66790  |    7666 |              0 | N/A       |
| animation_data           | FLT0014      | PC12         | 1409           | 1413         | -34.48998  | 150.66790  |    7666 |              0 | N/A       |

## Flight: FLT0015
### Conflict with FLT0014 (Conflict 18)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0015      | EC35         | 1400           | 4            | -34.48700  | 150.61103  |    7000 |            666 | 2.82      |
| interpolated_points      | FLT0015      | EC35         | 1400           | 1414         | -34.48700  | 150.61103  |    7000 |              0 | N/A       |
| animation_data           | FLT0015      | EC35         | 1400           | 1414         | -34.48700  | 150.61103  |    7000 |              0 | N/A       |

### Conflict with FLT0016 (Conflict 19)
